# This file is part of survey2gis (http://www.survey-tools.org).
#
# It contains sample survey data fit for processing in mode "None" (see manual).
# Try this with the sample parser description in "parser_desc_none.txt". 
# 
# The output of this file will consists solely of points that represent the
# vertices of the geometries defined below.
#
# Last edited: 2014-10-02
#
     66 Limits of excavation area
     67 1_GR_W_0                    X   3513037.664 Y   5279881.392 Z   399.563
     68 1_GR_W_0                    X   3513037.116 Y   5279880.877 Z   399.590
     69 1_GR_W_0                    X   3513036.611 Y   5279880.344 Z   399.593
     70 1_GR_W_0                    X   3513036.214 Y   5279879.869 Z   399.639
     71 1_GR_W_0                    X   3513035.663 Y   5279879.265 Z   399.715
     72 1_GR_W_0                    X   3513035.147 Y   5279878.675 Z   399.770
     73 1_GR_W_0                    X   3513034.717 Y   5279878.169 Z   399.813
     74 1_GR_W_0                    X   3513034.174 Y   5279877.523 Z   399.897
     75 1_GR_W_0                    X   3513033.490 Y   5279876.879 Z   399.911
     76 1_GR_W_0                    X   3513032.705 Y   5279875.835 Z   399.982
     77 1_GR_W_0                    X   3513033.243 Y   5279875.375 Z   399.962
     78 1_GR_W_0                    X   3513033.738 Y   5279874.939 Z   399.919
     79 1_GR_W_0                    X   3513034.406 Y   5279874.447 Z   399.905
     80 1_GR_W_0                    X   3513035.053 Y   5279873.992 Z   399.899
     81 1_GR_W_0                    X   3513035.553 Y   5279873.583 Z   399.834
     82 1_GR_W_0                    X   3513036.226 Y   5279872.996 Z   399.846
     83 1_GR_W_0                    X   3513036.817 Y   5279872.447 Z   399.835
     84 1_GR_W_0                    X   3513037.278 Y   5279872.093 Z   399.825
     85 1_GR_W_0                    X   3513037.726 Y   5279871.672 Z   399.777
     86 1_GR_W_0                    X   3513038.068 Y   5279871.883 Z   399.876
     87 1_GR_W_0                    X   3513038.362 Y   5279872.159 Z   399.873
     88 1_GR_W_0                    X   3513038.754 Y   5279871.749 Z   399.880
     89 1_GR_W_0                    X   3513038.982 Y   5279871.438 Z   399.855
     70 1_GR_W_0                    X   3513039.363 Y   5279870.842 Z   399.724
     81 1_GR_W_0                    X   3513039.859 Y   5279870.348 Z   399.711
     82 1_GR_W_0                    X   3513040.343 Y   5279869.878 Z   399.691
     83 1_GR_W_0                    X   3513040.759 Y   5279869.346 Z   399.728
     84 1_GR_W_0                    X   3513041.408 Y   5279868.831 Z   399.743
     85 1_GR_W_0                    X   3513042.024 Y   5279868.327 Z   399.722
     86 1_GR_W_0                    X   3513042.684 Y   5279867.770 Z   399.746
     87 1_GR_W_0                    X   3513043.335 Y   5279868.248 Z   399.782
     88 1_GR_W_0                    X   3513043.833 Y   5279868.804 Z   399.762
     89 1_GR_W_0                    X   3513044.417 Y   5279869.394 Z   399.751
     90 1_GR_W_0                    X   3513045.038 Y   5279869.923 Z   399.752
     91 1_GR_W_0                    X   3513045.268 Y   5279870.194 Z   399.707
     92 1_GR_W_0                    X   3513045.267 Y   5279870.194 Z   399.706
     93 1_GR_W_0                    X   3513046.913 Y   5279871.749 Z   399.692
     94 1_GR_W_0                    X   3513047.409 Y   5279872.148 Z   399.729
     95 1_GR_W_0                    X   3513047.865 Y   5279872.575 Z   399.701
     96 1_GR_W_0                    X   3513048.353 Y   5279873.018 Z   399.666
     97 1_GR_W_0                    X   3513048.880 Y   5279873.468 Z   399.639
     98 1_GR_W_0                    X   3513049.411 Y   5279873.950 Z   399.628
     99 1_GR_W_0                    X   3513049.828 Y   5279874.320 Z   399.555
    100 1_GR_W_0                    X   3513050.283 Y   5279874.631 Z   399.467
    101 1_GR_W_0                    X   3513050.739 Y   5279874.991 Z   399.310
    102 1_GR_W_0                    X   3513051.238 Y   5279875.446 Z   399.309
    103 1_GR_W_0                    X   3513051.633 Y   5279875.739 Z   399.316
    104 1_GR_W_0                    X   3513051.628 Y   5279875.720 Z   399.342
    105 1_GR_W_0                    X   3513051.934 Y   5279876.219 Z   399.398
    106 1_GR_W_0                    X   3513051.273 Y   5279877.028 Z   399.355
    107 1_GR_W_0                    X   3513050.599 Y   5279877.817 Z   399.351
    108 1_GR_W_0                    X   3513049.867 Y   5279878.390 Z   399.340
    109 1_GR_W_0                    X   3513049.249 Y   5279879.032 Z   399.378
    110 1_GR_W_0                    X   3513048.738 Y   5279879.679 Z   399.399
    111 1_GR_W_0                    X   3513047.939 Y   5279880.378 Z   399.299
    112 1_GR_W_0                    X   3513047.392 Y   5279880.966 Z   399.401
    113 1_GR_W_0                    X   3513047.042 Y   5279881.496 Z   399.403
    114 1_GR_W_0                    X   3513047.115 Y   5279882.057 Z   399.436
    115 1_GR_W_0                    X   3513046.508 Y   5279882.758 Z   399.478
    116 1_GR_W_0                    X   3513045.959 Y   5279883.306 Z   399.422
    117 1_GR_W_0                    X   3513045.394 Y   5279883.822 Z   399.450
    118 1_GR_W_0                    X   3513044.888 Y   5279884.390 Z   399.514
    119 1_GR_W_0                    X   3513044.319 Y   5279884.991 Z   399.458
    120 1_GR_W_0                    X   3513043.579 Y   5279885.748 Z   399.518
    121 1_GR_W_0                    X   3513042.662 Y   5279885.042 Z   399.469
    122 1_GR_W_0                    X   3513042.072 Y   5279884.256 Z   399.417
    123 1_GR_W_0                    X   3513041.415 Y   5279883.414 Z   399.351
    124 1_GR_W_0                    X   3513040.628 Y   5279882.480 Z   399.402
    125 1_GR_W_0                    X   3513039.513 Y   5279882.141 Z   399.419
    126 1_GR_W_0                    X   3513038.735 Y   5279882.741 Z   399.469
    127 1_GR_W_0                    X   3513037.967 Y   5279881.956 Z   399.549
    128 1_GR_W_0                    X   3513037.972 Y   5279881.957 Z   399.549
      0 Closed rounded object (polygon) without feature ID
      1 1_LO_W_0                    X   3513041.874 Y   5279875.482 Z   399.025
      2 1_LO_W_0                    X   3513042.243 Y   5279875.815 Z   399.107
      3 1_LO_W_0                    X   3513042.419 Y   5279875.848 Z   399.095
      4 1_LO_W_0                    X   3513042.537 Y   5279875.745 Z   399.059
      5 1_LO_W_0                    X   3513042.603 Y   5279875.604 Z   399.084
      6 1_LO_W_0                    X   3513042.429 Y   5279875.453 Z   399.073
      7 1_LO_W_0                    X   3513042.460 Y   5279875.407 Z   399.052
      8 1_LO_W_0                    X   3513042.646 Y   5279875.154 Z   399.092
      9 1_LO_W_0                    X   3513042.576 Y   5279874.960 Z   399.084
     10 1_LO_W_0                    X   3513042.375 Y   5279874.889 Z   399.090
     11 1_LO_W_0                    X   3513042.072 Y   5279875.029 Z   399.111
     12 1_LO_W_0                    X   3513041.848 Y   5279875.302 Z   399.104
     13 1_LO_W_0                    X   3513041.948 Y   5279875.302 Z   399.144     
     14 Closed rounded object (polygon) with feature ID
     15 1_LO_W_100                  X   3513042.399 Y   5279876.155 Z   399.074
     16 1_LO_W_100                  X   3513042.486 Y   5279876.347 Z   399.103
     17 1_LO_W_100                  X   3513042.677 Y   5279876.461 Z   399.097
     18 1_LO_W_100                  X   3513042.864 Y   5279876.378 Z   399.075
     19 1_LO_W_100                  X   3513042.951 Y   5279876.125 Z   399.078
     20 1_LO_W_100                  X   3513042.792 Y   5279875.903 Z   399.096
     21 1_LO_W_100                  X   3513042.507 Y   5279875.932 Z   399.083
     22 1_LO_W_100                  X   3513042.507 Y   5279875.932 Z   399.083
     23 Closed object (polygon) with straight edges and no feature ID
     23 1_LI_W_0                    X   3513040.331 Y   5279874.003 Z   399.133
     24 1_LI_W_0                    X   3513040.977 Y   5279873.387 Z   399.114
     25 1_LI_W_0                    X   3513040.295 Y   5279872.851 Z   399.127
     26 1_LI_W_0                    X   3513039.744 Y   5279873.498 Z   399.129
     27 1_LI_W_0                    X   3513040.226 Y   5279873.925 Z   399.157
     28 1_LI_W_0                    X   3513040.226 Y   5279873.925 Z   399.157
     29 Closed object (polygon) with straight edges and feature ID
     30 1_LI_W_101                  X   3513039.406 Y   5279877.606 Z   399.176
     31 1_LI_W_101                  X   3513039.779 Y   5279877.602 Z   399.186
     32 1_LI_W_101                  X   3513039.860 Y   5279877.549 Z   399.187
     33 1_LI_W_101                  X   3513039.876 Y   5279877.359 Z   399.188
     34 1_LI_W_101                  X   3513039.718 Y   5279877.214 Z   399.180
     35 1_LI_W_101                  X   3513039.499 Y   5279877.239 Z   399.179
     36 1_LI_W_101                  X   3513039.358 Y   5279877.373 Z   399.191
     37 1_LI_W_101                  X   3513039.357 Y   5279877.534 Z   399.195
     38 1_LI_W_101                  X   3513039.357 Y   5279877.534 Z   399.195
     39 Closed uncertain object (polygon) with no feature ID
     40 1_US_W_0                    X   3513037.318 Y   5279878.713 Z   399.196
     41 1_US_W_0                    X   3513037.397 Y   5279878.748 Z   399.217
     42 1_US_W_0                    X   3513037.474 Y   5279878.738 Z   399.213
     43 1_US_W_0                    X   3513037.504 Y   5279878.671 Z   399.204
     44 1_US_W_0                    X   3513037.356 Y   5279878.467 Z   399.205
     45 1_US_W_0                    X   3513037.198 Y   5279878.428 Z   399.205
     46 1_US_W_0                    X   3513037.170 Y   5279878.401 Z   399.195
     47 1_US_W_0                    X   3513037.118 Y   5279878.419 Z   399.192
     48 1_US_W_0                    X   3513037.118 Y   5279878.569 Z   399.203
     49 1_US_W_0                    X   3513037.157 Y   5279878.616 Z   399.208
     50 1_US_W_0                    X   3513037.275 Y   5279878.680 Z   399.211
     51 1_US_W_0                    X   3513037.277 Y   5279878.679 Z   399.211
     52 Closed uncertain object (polygon) with feature ID
     53 1_US_W_102                  X   3513046.001 Y   5279872.930 Z   399.085
     54 1_US_W_102                  X   3513046.211 Y   5279872.947 Z   399.087
     55 1_US_W_102                  X   3513046.276 Y   5279872.928 Z   399.078
     56 1_US_W_102                  X   3513046.395 Y   5279872.761 Z   399.086
